,Actor,Director,Rating,Title,URL,Year
16,Martin Scorsese,"Robert De Niro, Ray Liotta",8.7,Goodfellas,https://www.imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17,1994
17,Lana Wachowski,"Keanu Reeves, Laurence Fishburne",8.6,The Matrix,https://www.imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18,1994
18,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura",8.6,Shichinin no samurai,https://www.imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19,1994
19,Anthony Russo,"Robert Downey Jr., Chris Hemsworth",8.6,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20,1994
20,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino",8.6,Cidade de Deus,https://www.imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21,1994
21,George Lucas,"Mark Hamill, Harrison Ford",8.6,Star Wars,https://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22,1994
22,David Fincher,"Morgan Freeman, Brad Pitt",8.6,Se7en,https://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23,1994
23,Jonathan Demme,"Jodie Foster, Anthony Hopkins",8.6,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24,1994
24,Frank Capra,"James Stewart, Donna Reed",8.6,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25,1994
25,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi",8.6,La vita è bella,https://www.imdb.com/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26,1994
26,Bryan Singer,"Kevin Spacey, Gabriel Byrne",8.6,The Usual Suspects,https://www.imdb.com/title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27,1994
27,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette",8.5,Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_28,1994
